id,type,size,,bp,bt,rbp,fh,drw
1,flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,
2,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,
3,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,
4,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6.1,,
5,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,5.98,,
6,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6,,
7,flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22,1.73,,
8,flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22,1.83,,
9,flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22,1.95,,
10,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.321,,
11,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.265,,
12,flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20,4,,
13,flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20,3.79,,
14,flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20,5.85,,
15,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.81,,
16,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.6,,
17,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.92,,
18,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.94,,
19,flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60,0.57,,
20,flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60,1.03,,
21,flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60,0.76,,
22,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.54,,
23,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.3,,
24,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.24,,
25,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.26,,
26,flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57,0.163,,
27,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.216,,
28,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.14,,
29,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.184,,
30,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.56,,
31,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.531,,
32,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.49,,
33,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.26,,
34,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.043,,
35,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.81,,
36,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.925,,
37,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.984,,
38,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,4.59,,
39,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.58,,
40,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.41,,
41,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,5.73,,
42,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,4,,
43,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,6.19,,
44,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.93,,
45,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.63,,
46,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,4.85,,
47,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.13,,
48,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.3,,
49,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.09,,
50,flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22,2.45,,
51,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.193,,
52,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.68,,
53,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.459,,
54,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.62,,
55,flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188,0.7,,
56,flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188,0.6,,
57,flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188,10.76,,
58,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.43,,
59,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.92,,
60,flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188,1.45,,
61,flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188,0.8,,
62,flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188,0.7,,
63,flat,24,s316:2_s316:0.5_fep:0.5,5,40,7.44,,
64,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,2.27,,
65,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,0.89,,
66,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.25,,
67,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.14,,
68,flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,,
69,flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,,
70,flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.45,,
71,flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.15,,
72,flat,24,s316:2.5_s316:0.6_ptfe:0.5,6,40,4.45,,
73,flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,6.15,,
74,flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,1.89,,
75,flat,24,s316L:2_s316L:0.6_ptfe:0.5,4,50,4.15,,
76,flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,6.3,,
77,flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,5.23,,
78,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.137,,
79,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.3,,
80,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.575,,
81,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.5,,
82,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.34,,
83,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.38,,
84,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.52,,
85,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,,
86,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,,
87,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.83,,
88,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.91,,
89,flat,10,s316:0.6_s316:0.6_ptfe:0.5,2,160,2.08,,
90,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.97,,
91,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.16,,
92,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,8.93,,
93,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.05,,
94,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.04,,
95,flat,24,s316:3_s316:1_ptfe:0.5,6,40,5.24,,
96,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.15,,
97,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.45,,
98,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.19,,
99,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,7.21,,
100,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,6.5,,
101,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,12,,
102,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,6.52,,
103,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,5.61,,
104,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,8.1,,
105,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.66,,
106,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.47,,
107,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.08,,
108,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.97,,
109,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,1,75,0.8,,
110,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.3,,
111,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.65,,
112,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,7.01,,
113,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,8.2,,
114,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.1,,
115,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.72,,
116,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.33,,
117,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.4,,
118,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.57,,
119,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.21,,
120,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.18,,
121,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.16,,
122,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,2.98,,
123,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.37,,
124,flat,8,s316:0.5_s316:0.5_tef:0.5,3.21,35,2.59,,
125,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.7,,
126,flat,8,s316:0.5_s316:0.5_tef:0.5,3.3,35,3.9,,
127,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,2.81,,
128,flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35,3.4,,
129,flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.28,,
130,flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.3,,
131,flat,16,s316:0.5_s316:1_tef:0.5,3.5,35,3.52,,
132,flat,16,s316:0.5_s316:1_tef:0.5,3,35,3.31,,
133,flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,3.1,,
134,flat,24,s316:0.5_s316:1.5_tef:0.5,3,35,3.25,,
135,flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35,2.1,,
136,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.7,,
137,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.8,,
138,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.1,,
139,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.05,,
140,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,2.85,,
141,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,4.2,,
142,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.65,,
143,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.25,,
144,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,9.9,,
145,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.9,,
146,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.6,,
147,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,16,,
148,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,15.55,,
149,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,11.43,,
150,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,,,
151,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.4,,
152,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.3,,
153,flat,24,s316:2_s316:0.5_tef:0.5,3,22,1.3,,
154,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.3,,
155,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.4,,
156,flat,24,s316:2_s316:0.5_tef:1.5,4,22,3.97,,
157,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.4,,
158,flat,24,s316:2_s316:0.5_tef:1.5,4,22,2.14,,
159,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.31,,
160,flat,24,s316:2_s316:0.5_tef:1.5,5,22,4.75,,
161,flat,24,s316:2_s316:0.5_tef:1.5,5,22,1.43,,
162,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.54,,
163,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.08,,
164,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.23,,
165,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.3,,
166,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.28,,
167,flat,24,s316:3_s316:0.5_tef:0.5,6,22,5.5,,
168,flat,24,s316:3_s316:0.5_tef:0.5,6,22,6.17,,
169,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.27,,
170,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.81,,
171,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.98,,
172,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.1,,
173,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.2,,
174,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,,
175,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.68,,
176,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.42,,
177,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,,
178,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.46,,
179,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,,
180,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.44,,
181,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,,
182,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.65,,
183,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.62,,
184,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.35,,
185,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,,
186,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,,
187,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,,
188,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,,
189,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.52,,
190,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.55,,
191,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.15,,
192,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,,
193,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.48,,
194,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.51,,
195,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.67,,
196,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.62,,
197,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.65,,
198,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.92,,
199,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.83,,
200,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.36,,
201,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.41,,
202,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.48,,
203,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.56,,
204,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.75,,
205,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,6.05,,
206,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.83,,
207,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.63,,
208,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.24,,
209,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.26,,
210,forward,3,S316:0.4_nickel:0.25_tef:0.3,8.03,20,9.8,,
211,forward,3,S316:0.05_nickel:0.25_tef:0.4,8.03,20,8.45,,
212,forward,3,S316:0.05_nickel:0.25_tef:0.2,8.03,20,7.65,,
213,forward,3,S316:0.05_nickel:0.25_tef:0.3,8.03,20,7.3,,
214,forward,4,inconel:1_s316L:0.05_tef:0.3,27.7,325,31,,
215,forward,4,inconel:1_s316L:0.05_tef:0.05,29.1,20,31.76,,
216,forward,4,inconel:1_s316L:0.05_tef:0.2,27.7,325,30.41,,
217,forward,4,inconel:1_s316L:0.05_tef:0.2,29.1,20,29.98,,
218,forward,3,s316L:0.2_s316L:0.1_tef:0.3,4.6,60,4.5,,
219,forward,3,s316L:0.2_s316L:0.1_tef:0.4,4.6,60,2.81,,
220,forward,3,s316L:0.2_s316L:0.1_tef:0.2,4.6,60,4.53,,
221,forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,29.98,,
222,forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,4.65,,
223,forward,1,S316L:0.05_S316L:0.1_tef:0.05,5,30,6.02,,
224,forward,4,inconel:0.42_s316L:0.1_tef:0.3,115,100,116.7,,
225,forward,4,inconel:0.42_s316L:0.1_tef:0.05,115,100,119.1,,
226,forward,4,inconel:0.42_s316L:0.1_tef:0.3,75,100,78.1,,
227,forward,4,inconel:0.42_s316L:0.1_tef:0.05,75,100,77.8,,
228,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.63,,
229,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.37,,
230,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.69,,
231,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.64,,
232,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.27,,
233,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.22,,
234,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.39,,
235,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.76,,
236,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,6.53,,
237,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.32,,
238,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.21,,
239,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.01,,
240,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.1,,
241,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.8,,
242,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.985,,
243,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.31,,
244,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.33,,
245,forward,1,s316L:0.05_s316L:0.2_s316L:0.05_tef:0.1,5,22,5.8,,
246,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.4,,
247,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,10.63,,
248,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.42,,
249,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,8.86,,
250,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.3,,
251,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,11.7,,
252,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,6.13,,
253,forward,1.5,s316L:0.1_s316L:0.1_tef:0.2,10,180,8.8,,
254,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.06,,
255,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,10.08,,
256,forward,1.5,s316L:0.2_s316L:0.1_s316L:0.1_tef:0.1,10,180,18.86,,
257,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.15,,
258,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.96,,
259,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.86,,
260,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.57,,
261,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.9,,
262,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.15,,
263,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,2.6,,
264,forward,4,s316L:0.3_s316L:0.1_tef:0.2,3.3,131,3.08,,
265,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,,
266,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.56,,
267,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.65,,
268,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,,
269,forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.51,,
270,forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.575,,
271,forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,15,,
272,forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,18.13,,
273,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.49,,
274,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.02,,
275,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,1.97,,
276,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.66,,
277,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,7.91,,
278,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.38,,
279,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.05,,
280,forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.75,,
281,forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.25,,
282,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,9.59,,
283,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,13.6,,
284,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,15.3,,
285,forward,1,s316:0.1_s316:1_fep:.1,5,30,5.15,,
286,forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.43,,
287,forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.59,,
288,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,4.87,,
289,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,6.47,,
290,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,5.35,,
291,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.35,,
292,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.39,,
293,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.09,,
294,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.04,,
295,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.99,,
296,forward,1.5,s316:0.1_s316:0.1_tef:0.3,2,135,2.25,,
297,forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,3.2,,
298,forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,2.94,,
299,forward,3,s316L:0.5_s316L:0.1_tef:0.5,3,48,2.57,,
300,forward,3,s316L:0.3_s316L:0.1_tef:0.5,3,48,3.47,,
301,forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.5,248,100,249.4,,
302,forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.4,248,100,245.7,,
303,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,16.8,,
304,forward,4,s316:1_s316:0.4_ptfe:0.4,10,100,7.86,,
305,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,9.87,,
306,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.45,,
307,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.25,,
308,forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,1.73,,
309,forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,3.42,,
310,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,9.04,,
311,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.49,,
312,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.59,,
313,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.35,,
314,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.18,,
315,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.5,,
316,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.3,,
317,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,,
318,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.49,,
319,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.71,,
320,forward,1.5,s316:0.2_s316:0.1_ptfe:0.2,3.3,149,3.21,,
321,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.75,,
322,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.99,,
323,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.7,,
324,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.01,,
325,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,,
