id,type,size,,bp,bt,rbp,fh,drw,,,,
140,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,2.85,,,,inconel:0.1_ inconel:1.2_ptfe:0.1,flat_1_3.5,
141,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,4.2,,,,inconel:1.5_s316:0.1_ptfe:0.1,flat_1_3.5,
142,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.65,,,,s316:0.8_s316:.05_ptfe:0.1,flat_1_3.5,
143,flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25,3.25,,,,monel :04_ s316:0.05_ptfe:0.1,flat_1_3.5,
144,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,9.9,,,,s316:0.4_monel:0.05_ptfe:0.1,flat_8_0.2,
145,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.9,,,,s316:0.1_s316:0.1_s316:0.05_tef:0.4,flat_8_0.2,
146,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,12.6,,,,s316:0.4_s316:0.1_tef:0.5,flat_8_0.2,
147,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,16,,,,inconel:0.5_s316:0.1_tef:0.5,flat_8_0.2,
148,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,15.55,,,,s316:0.5_s316:0.1_tef:0.5,flat_8_0.2,
149,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,11.43,,,,inconel:0.8_s316:0.05_tef:0.5,flat_8_0.2,
150,flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125,,,,,s316:1.5_s316:0.1_s316:0.5_tef:0.5,flat_8_0.2,
151,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.4,,,,s316:1.5_s316:0.5_ptfe:0.3,flat_24_3,
152,flat,24,s316:2_s316:0.5_tef:0.5,3,22,3.3,,,,s316:1.5_s316:0.1_ptfe:0.3,flat_24_3,
153,flat,24,s316:2_s316:0.5_tef:0.5,3,22,1.3,,,,s316:2.5_s316:0.1_ptfe:0.3,flat_24_3,
154,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.3,,,,s316:3_s316:0.1_ptfe:0.3,flat_24_4,
155,flat,24,s316:2_s316:0.5_tef:1.5,4,22,4.4,,,,s316:1.5_inconel:0.1_inconel:1_ptfe:0.3,flat_24_4,
156,flat,24,s316:2_s316:0.5_tef:1.5,4,22,3.97,,,,s316:1_s316:0.1_s316:0.5_tef:0.5,flat_24_4,
157,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.4,,,,inconel:0.5_s316:0.1_fep:0.5,flat_24_4,
158,flat,24,s316:2_s316:0.5_tef:1.5,4,22,2.14,,,,inconel:0.5_s316:0.1_fep:0.4,flat_24_4,
159,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.31,,,,inconel:0.5_s316:0.1_fep:0.81,flat_24_4,
160,flat,24,s316:2_s316:0.5_tef:1.5,5,22,4.75,,,,inconel:0.5_s316:0.1_fep:0.65,flat_24_5,
161,flat,24,s316:2_s316:0.5_tef:1.5,5,22,1.43,,,,inconel:0.5_s316:0.1_fep:0.8,flat_24_5,
162,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.54,,,,inconel:1.2_s316:0.1_fep:0.5,flat_24_6,
163,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.08,,,,inconel:0.8_s316:0.1_fep:0.4,flat_24_6,
164,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.23,,,,inconel:0.8_s316:0.1_fep:0.5,flat_24_6,
165,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.3,,,,inconel:1.2_s316:0.1_fep:0.4,flat_24_6,
166,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.28,,,,inconel:1_s316:0.1_fep:0.4,flat_24_6,
167,flat,24,s316:3_s316:0.5_tef:0.5,6,22,5.5,,,,inconel:1.2_ inconel:0.5_fep:0.5,flat_24_6,
168,flat,24,s316:3_s316:0.5_tef:0.5,6,22,6.17,,,,0,flat_24_6,
169,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.27,,,,,flat_24_6,
170,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.81,,,,,flat_2_0.5,
171,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.98,,,,,flat_2_0.5,
172,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.1,,,,,flat_2_0.5,
173,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.2,,,,,flat_2_0.5,
174,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,,,,,flat_2_0.5,
175,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.68,,,,,flat_2_0.5,
176,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.42,,,,,flat_2_0.5,
177,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,,,,,flat_2_0.5,
178,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.46,,,,,flat_2_0.5,
179,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,,,,,flat_2_0.5,
180,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.44,,,,,flat_2_0.5,
181,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,,,,,flat_2_0.5,
182,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.65,,,,,flat_2_0.5,
183,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.62,,,,,flat_2_0.5,
184,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.35,,,,,flat_2_0.5,
185,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,,,,,flat_2_0.5,
186,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,,,,,flat_2_0.5,
187,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,,,,,flat_2_0.5,
188,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,,,,,flat_2_0.5,
189,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.52,,,,,flat_2_0.5,
190,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.55,,,,,flat_2_0.5,
191,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.15,,,,,flat_2_0.5,
192,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,,,,,flat_2_0.5,
193,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.48,,,,,flat_2_0.5,
194,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.51,,,,,flat_2_0.5,
195,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.67,,,,,flat_2_0.5,
196,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.62,,,,,flat_6_7.5,
197,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.65,,,,,flat_6_7.5,
198,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.92,,,,,flat_6_7.5,
199,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.83,,,,,flat_6_7.5,
200,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.36,,,,,flat_6_7.5,
201,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.41,,,,,flat_6_7.5,
202,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.48,,,,,flat_6_7.5,
203,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.56,,,,,flat_6_7.5,
204,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.75,,,,,flat_6_7.5,
205,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,6.05,,,,,flat_6_7.5,
206,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.83,,,,,flat_6_7.5,
207,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.63,,,,,flat_6_7.5,
208,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.24,,,,,flat_6_7.5,
209,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.26,,,,,flat_6_7.5,
210,forward,3,S316:0.4_nickel:0.25_tef:0.3,8.03,20,9.8,,,,,forward_3_8.03,
211,forward,3,S316:0.05_nickel:0.25_tef:0.4,8.03,20,8.45,,,,,forward_3_8.03,
212,forward,3,S316:0.05_nickel:0.25_tef:0.2,8.03,20,7.65,,,,,forward_3_8.03,
213,forward,3,S316:0.05_nickel:0.25_tef:0.3,8.03,20,7.3,,,,,forward_3_8.03,
214,forward,4,inconel:1_s316L:0.05_tef:0.3,27.7,325,31,,,,,forward_4_27.7,
215,forward,4,inconel:1_s316L:0.05_tef:0.05,29.1,20,31.76,,,,,forward_4_29.1,
216,forward,4,inconel:1_s316L:0.05_tef:0.2,27.7,325,30.41,,,,,forward_4_27.7,
217,forward,4,inconel:1_s316L:0.05_tef:0.2,29.1,20,29.98,,,,,forward_4_29.1,
218,forward,3,s316L:0.2_s316L:0.1_tef:0.3,4.6,60,4.5,,,,,forward_3_4.6,
219,forward,3,s316L:0.2_s316L:0.1_tef:0.4,4.6,60,2.81,,,,,forward_3_4.6,
220,forward,3,s316L:0.2_s316L:0.1_tef:0.2,4.6,60,4.53,,,,,forward_3_4.6,
221,forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,29.98,,,,,forward_3_4.6,
222,forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,4.65,,,,,forward_3_4.6,
223,forward,1,S316L:0.05_S316L:0.1_tef:0.05,5,30,6.02,,,,,forward_1_5,
224,forward,4,inconel:0.42_s316L:0.1_tef:0.3,115,100,116.7,,,,,forward_4_115,
225,forward,4,inconel:0.42_s316L:0.1_tef:0.05,115,100,119.1,,,,,forward_4_115,
226,forward,4,inconel:0.42_s316L:0.1_tef:0.3,75,100,78.1,,,,,forward_4_75,
227,forward,4,inconel:0.42_s316L:0.1_tef:0.05,75,100,77.8,,,,,forward_4_75,
228,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.63,,,,,forward_1_5,
229,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.37,,,,,forward_1_5,
230,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.69,,,,,forward_1_2.5,
231,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.64,,,,,forward_1_2.5,
232,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.27,,,,,forward_1_2.5,
233,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.22,,,,,forward_1_2.5,
234,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.39,,,,,forward_1_7,
235,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.76,,,,,forward_1_7,
236,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,6.53,,,,,forward_1_7,
237,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.32,,,,,forward_1_5,
238,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.21,,,,,forward_1_5,
239,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.01,,,,,forward_3_1,
240,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.1,,,,,forward_3_1,
241,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.8,,,,,forward_3_1,
242,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.985,,,,,forward_3_1,
243,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.31,,,,,forward_1_5,
244,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.33,,,,,forward_1_5,
245,forward,1,s316L:0.05_s316L:0.2_s316L:0.05_tef:0.1,5,22,5.8,,,,,forward_1_5,
246,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.4,,,,,forward_1_5,
247,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,10.63,,,,,forward_1_10,
248,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.42,,,,,forward_1_10,
249,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,8.86,,,,,forward_1_10,
250,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.3,,,,,forward_1_10,
251,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,11.7,,,,,forward_1_10,
252,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,6.13,,,,,forward_1_10,
253,forward,1.5,s316L:0.1_s316L:0.1_tef:0.2,10,180,8.8,,,,,forward_1.5_10,
254,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.06,,,,,forward_1.5_10,
255,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,10.08,,,,,forward_1.5_10,
256,forward,1.5,s316L:0.2_s316L:0.1_s316L:0.1_tef:0.1,10,180,18.86,,,,,forward_1.5_10,
257,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.15,,,,,forward_1.5_10,
258,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.96,,,,,forward_3_3.3,
259,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.86,,,,,forward_3_3.3,
260,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.57,,,,,forward_3_3.3,
261,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.9,,,,,forward_3_3.3,
262,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.15,,,,,forward_3_3.3,
263,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,2.6,,,,,forward_4_3.3,
264,forward,4,s316L:0.3_s316L:0.1_tef:0.2,3.3,131,3.08,,,,,forward_4_3.3,
265,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,,,,,forward_4_3.3,
266,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.56,,,,,forward_4_3.3,
267,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.65,,,,,forward_4_3.3,
268,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,,,,,forward_4_3.3,
269,forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.51,,,,,forward_16_0.5,
270,forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.575,,,,,forward_16_0.5,
271,forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,15,,,,,forward_4_17.2,
272,forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,18.13,,,,,forward_4_17.2,
273,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.49,,,,,forward_6_2.35,
274,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.02,,,,,forward_6_2.35,
275,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,1.97,,,,,forward_6_2.35,
276,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.66,,,,,forward_6_2.35,
277,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,7.91,,,,,forward_4_8.4,
278,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.38,,,,,forward_4_8.4,
279,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.05,,,,,forward_4_8.4,
280,forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.75,,,,,forward_2_3.25,
281,forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.25,,,,,forward_2_3.25,
282,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,9.59,,,,,forward_12_16.17,
283,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,13.6,,,,,forward_12_16.17,
284,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,15.3,,,,,forward_12_16.17,
285,forward,1,s316:0.1_s316:1_fep:.1,5,30,5.15,,,,,forward_1_5,
286,forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.43,,,,,forward_1_5,
287,forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.59,,,,,forward_1_5,
288,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,4.87,,,,,forward_1_5,
289,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,6.47,,,,,forward_1_5,
290,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,5.35,,,,,forward_1_5,
291,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.35,,,,,forward_1.5_2,
292,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.39,,,,,forward_1.5_2,
293,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.09,,,,,forward_1.5_2,
294,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.04,,,,,forward_1.5_2,
295,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.99,,,,,forward_1.5_2,
296,forward,1.5,s316:0.1_s316:0.1_tef:0.3,2,135,2.25,,,,,forward_1.5_2,
297,forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,3.2,,,,,forward_2_3,
298,forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,2.94,,,,,forward_2_3,
299,forward,3,s316L:0.5_s316L:0.1_tef:0.5,3,48,2.57,,,,,forward_3_3,
300,forward,3,s316L:0.3_s316L:0.1_tef:0.5,3,48,3.47,,,,,forward_3_3,
301,forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.5,248,100,249.4,,,,,forward_0.5_248,
302,forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.4,248,100,245.7,,,,,forward_0.5_248,
303,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,16.8,,,,,forward_4_10,
304,forward,4,s316:1_s316:0.4_ptfe:0.4,10,100,7.86,,,,,forward_4_10,
305,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,9.87,,,,,forward_4_10,
306,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.45,,,,,forward_4_10,
307,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.25,,,,,forward_4_10,
308,forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,1.73,,,,,forward_12_3.5,
309,forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,3.42,,,,,forward_12_3.5,
310,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,9.04,,,,,forward_1.5_3.3,
311,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.49,,,,,forward_1.5_3.3,
312,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.59,,,,,forward_1.5_3.3,
313,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.35,,,,,forward_1.5_3.3,
314,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.18,,,,,forward_1.5_3.3,
315,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.5,,,,,forward_1.5_3.3,
316,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.3,,,,,forward_1.5_3.3,
317,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,,,,,forward_1.5_3.3,
318,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.49,,,,,forward_1.5_3.3,
319,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.71,,,,,forward_1.5_3.3,
320,forward,1.5,s316:0.2_s316:0.1_ptfe:0.2,3.3,149,3.21,,,,,forward_1.5_3.3,
321,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.75,,,,,forward_1.5_3.3,
322,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.99,,,,,forward_1.5_3.3,
323,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.7,,,,,forward_1.5_3.3,
324,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.01,,,,,forward_1.5_3.3,
325,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,,,,,forward_1.5_3.3,
326,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.43,,,,,forward_1.5_3.3,
327,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,5.3,,,,,forward_1.5_3.3,
328,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.5,,,,,forward_1.5_3.3,
329,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.13,,,,,forward_1.5_3.3,
330,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.85,,,,,forward_1.5_3.3,
331,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.1,,,,,forward_1.5_3.3,
332,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,2.65,,,,,forward_1.5_3.3,
333,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.7,,,,,forward_1.5_3.3,
